"Term Name","Term Slug"
adubo,adubo
agropecuaria,agropecuaria
"defensivos agricolas",defensivos-agricolas
sementes,sementes
advogados,advogados
"advogado previdenciario",advogado-previdenciario
agencia,agencia
agencias,agencias
turismo,turismo
viagem,viagem
viagens,viagens
trator,trator
tratores,tratores
hidraulicas,hidraulicas
mangueiras,mangueiras
comercio,comercio
produtos,produtos
adubos,adubos
fertilizante,fertilizante
fertilizantes,fertilizantes
insumos,insumos
agropecuarias,agropecuarias
agroveterinaria,agroveterinaria
"arame liso",arame-liso
telas,telas
agua,agua
mineral,mineral
gas,gas
seguranca,seguranca
sistemas,sistemas
cursos,cursos
"Farmácia de Plantão",farmacia-de-plantao
"Farmácias de Plantão",farmacias-de-plantao
"telefones uteis",telefones-uteis
fazendas,fazendas
moto,moto
yamaha,yamaha
jato,jato
jumil,jumil
maquinas,maquinas
ferro,ferro
munk,munk
festas,festas
infantis,infantis
filtro,filtro
filtros,filtros
oleo,oleo
bebedouros,bebedouros
purificadores,purificadores
financiamento,financiamento
radiador,radiador
flor,flor
buques,buques
coroas,coroas
funebres,funebres
seminovos,seminovos
foto,foto
hoteis,hoteis
cerimoniais,cerimoniais
cerimonial,cerimonial
pastagens,pastagens
forros,forros
forro,forro
cartao,cartao
"frango assado",frango-assado
ar,ar
condicionado,condicionado
funerarias,funerarias
chocolate,chocolate
ceramica,ceramica
ceramicas,ceramicas
calcados,calcados
sapato,sapato
sapatos,sapatos
tenis,tenis
sites,sites
confeccoes,confeccoes
colegios,colegios
escola,escola
escolas,escolas
particular,particular
particulares,particulares
eletrico,eletrico
eletricos,eletricos
fio,fio
fios,fios
churrasquinho,churrasquinho
velorio,velorio
velorios,velorios
cooperativas,cooperativas
"materiais eletricos",materiais-eletricos
racoes,racoes
supermercado,supermercado
Supermercados,supermercados
cartorios,cartorios
colchao,colchao
conjuntos,conjuntos
tapetes,tapetes
travesseiros,travesseiros
caca,caca
pesca,pesca
mercearias,mercearias
antena,antena
"antena rural",antena-rural
antenas,antenas
"conserto eletrodomésticos",conserto-eletrodomesticos
"consertos de eletrodomesticos",consertos-de-eletrodomesticos
eletronica,eletronica
eletronicos,eletronicos
eletropecas,eletropecas
"maquina de costura",maquina-de-costura
sky,sky
"telefone rural",telefone-rural
borrachas,borrachas
bateria,bateria
baterias,baterias
hospitais,hospitais
hospital,hospital
pescaria,pescaria
bicicleta,bicicleta
bicicletaria,bicicletaria
bicicletarias,bicicletarias
bicicletas,bicicletas
informatica,informatica
trabalho,trabalho
tintas,tintas
queijos,queijos
extintor,extintor
"cama mesa e banho",cama-mesa-e-banho
banho,banho
cama,cama
tecidos,tecidos
enxoval,enxoval
idiomas,idiomas
ingles,ingles
contadores,contadores
diagnosticos,diagnosticos
exame,exame
mamografia,mamografia
radiografia,radiografia
tomografia,tomografia
ultrassonografia,ultrassonografia
bebida,bebida
beleza,beleza
cabeleireiro,cabeleireiro
cabeleireiros,cabeleireiros
cabelo,cabelo
salao,salao
colegio,colegio
celulares,celulares
oi,oi
tim,tim
vivo,vivo
vlaro,vlaro
copiadora,copiadora
copiadoras,copiadoras
copias,copias
xerox,xerox
computador,computador
computadores,computadores
blindex,blindex
espelhos,espelhos
temperados,temperados
vidracarias,vidracarias
vidros,vidros
peliculas,peliculas
som,som
catequese,catequese
olhos,olhos
auto,auto
carteira,carteira
habilitacao,habilitacao
alarme,alarme
alarmes,alarmes
cerca,cerca
eletrica,eletrica
eletronico,eletronico
portao,portao
residencial,residencial
vigilancia,vigilancia
cerealista,cerealista
cerealistas,cerealistas
cereais,cereais
buffet,buffet
chacara,chacara
chaveiros,chaveiros
mecanica,mecanica
troca,troca
bombas,bombas
injetoras,injetoras
corte,corte
chocolates,chocolates
noiva,noiva
vestido,vestido
centro,centro
reabilitacao,reabilitacao
terapeutica,terapeutica
fisioterapeuta,fisioterapeuta
depilacoes,depilacoes
ginecologia,ginecologia
neurologia,neurologia
obstetricia,obstetricia
pediatrica,pediatrica
odontologia,odontologia
dependencia,dependencia
quimica,quimica
tratamento,tratamento
mercado,mercado
mercados,mercados
mercearia,mercearia
cursinho,cursinho
curso,curso
impressora,impressora
impressoras,impressoras
concretagem,concretagem
meterial,meterial
condominios,condominios
sex,sex
shops,shops
igreja,igreja
igrejas,igrejas
templos,templos
acabamento,acabamento
acabamentos,acabamentos
ginecologista,ginecologista
medico,medico
medicos,medicos
despachantes,despachantes
revista,revista
revistas,revistas
artesiano,artesiano
poco,poco
frutas,frutas
sacolao,sacolao
verduras,verduras
moteis,moteis
corretor,corretor
lavanderias,lavanderias
diagnostico,diagnostico
imagem,imagem
por,por
radiologia,radiologia
eletronicas,eletronicas
parabolicas,parabolicas
cozinha,cozinha
ensino,ensino
instituicao,instituicao
cursinhos,cursinhos
cooperativa,cooperativa
center,center
relojoaria,relojoaria
relojoarias,relojoarias
taxista,taxista
taxistas,taxistas
jornais,jornais
midia,midia
propaganda,propaganda
periodontia,periodontia
contabilidade,contabilidade
seguro,seguro
oculos,oculos
oticas,oticas
"Auto Peças",auto-pecas
"peca para carros",peca-para-carros
defensivos,defensivos
lingerie,lingerie
lingeries,lingeries
limpeza,limpeza
cacambas,cacambas
barragem,barragem
barragens,barragens
desmatamentos,desmatamentos
grade,grade
represa,represa
represas,represas
terraplenagem,terraplenagem
usados,usados
cartucho,cartucho
tatores,tatores
cacamba,cacamba
carrocas,carrocas
"poupa de fruta",poupa-de-fruta
"poupa de frutas",poupa-de-frutas
copia,copia
grafica,grafica
correio,correio
publica,publica
utilidade,utilidade
eletricas,eletricas
eletricistas,eletricistas
hidraulico,hidraulico
hidraulicos,hidraulicos
chaveiro,chaveiro
eletrificacao,eletrificacao
rural,rural
urbana,urbana
moves,moves
descartaveis,descartaveis
pintor,pintor
pintores,pintores
estaduais,estaduais
idioma,idioma
municipais,municipais
buffets,buffets
tapecaria,tapecaria
tapecarias,tapecarias
publicidade,publicidade
televisao,televisao
automotivo,automotivo
"analises clinicas",analises-clinicas
onibus,onibus
saloes,saloes
moda,moda
transportadoras,transportadoras
houses,houses
lan,lan
confeitaria,confeitaria
confeitarias,confeitarias
sorveteria,sorveteria
jatos,jatos
lava,lava
rapido,rapido
piscina,piscina
alguel,alguel
"locação equipamentos construcao",locacao-equipamentos-construcao
"locacao maquinas",locacao-maquinas
embreagens,embreagens
livrarias,livrarias
joias,joias
locadora,locadora
locadoras,locadoras
noivas,noivas
vestidos,vestidos
venda,venda
maconicas,maconicas
moconicas,moconicas
casas,casas
loterias,loterias
loterica,loterica
lotericas,lotericas
premoldado,premoldado
marcenarias,marcenarias
marceneiro,marceneiro
marceneiros,marceneiros
"moveis planejados",moveis-planejados
granito,granito
marmorarias,marmorarias
marmore,marmore
lanternagem,lanternagem
Incorporações,incorporacoes
"tv por assinatura",tv-por-assinatura
camping,camping
hidraulica,hidraulica
fiat,fiat
mensagens,mensagens
locucao,locucao
secretarias,secretarias
pvc,pvc
marcenaria,marcenaria
vidracaria,vidracaria
vidro,vidro
brinquedo,brinquedo
institutos,institutos
"carro 0km",carro-0km
"carros novos",carros-novos
corretoras,corretoras
video,video
Assistência,assistencia
Técnica,tecnica
Televisores,televisores
campo,campo
futebol,futebol
churrasqueira,churrasqueira
churrasqueiras,churrasqueiras
cercas,cercas
lataria,lataria
latarias,latarias
portais,portais
polia,polia
polias,polias
holland,holland
"maquinas agricolas",maquinas-agricolas
fruta,fruta
sacoloes,sacoloes
verdura,verdura
plano,plano
planos,planos
saude,saude
placas,placas
semente,semente
tapete,tapete
piscinas,piscinas
cervejas,cervejas
acessorios,acessorios
pergolado,pergolado
toldo,toldo
toldos,toldos
tenda,tenda
tendas,tendas
dvd,dvd
agrimensor,agrimensor
agrimensores,agrimensores
torneadoras,torneadoras
tribunais,tribunais
transporte,transporte
cargas,cargas
passagens,passagens
televisoes,televisoes
assado,assado
frango,frango
sacarias,sacarias
frutaria,frutaria
frutarias,frutarias
portal,portal
anuncios,anuncios
corretora,corretora
sapatarias,sapatarias
paroquias,paroquias
selarias,selarias
