Nome,Status,Endereco,Instagram,Onde Vi,Existe,Similar,Obs,Fone,Whatsapp,Site,Tags,Descricao,Bio do Instagram,Logo,Imagens,Capa
Vovo Formiga Unaí,Novo,"Rua Djalma Torres, 517 - Esquina Posto Cachoeira",https://www.instagram.com/vovoformigaunai/,INSTAGRAM,Não,,,,,,,,,https://media.igram.world/get?__sig=vKEE0RkseDAmOqY2fwHpmg&__expires=1773098813&uri=https%3A%2F%2Fscontent-cpt1-1.cdninstagram.com%2Fv%2Ft51.82787-19%2F591164064_18062585531557027_8363416015621194368_n.jpg%3Fefg%3DeyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTguYzIifQ%26_nc_ht%3Dscontent-cpt1-1.cdninstagram.com%26_nc_cat%3D107%26_nc_oc%3DQ6cZ2QHg4Qe7-aT-z3Rz7IEbW4hXuTOdt9LbAOWleVYBiaBgtJAMUptCNDcncgFPc4ocicirINjOS0SDU3ptIyectMVo%26_nc_ohc%3DABFcFON9nJUQ7kNvwEU6Ds3%26_nc_gid%3DmDzechrQ7A5WLGVgidS4uA%26edm%3DAEF8tYYBAAAA%26ccb%3D7-5%26oh%3D00_AfyhDosyaK5xHSNN7tvvhdc_HZ4x86O8zWxgmDPWZckSBQ%26oe%3D69B5133C%26_nc_sid%3D1e20d2&filename=591164064_18062585531557027_8363416015621194368_n.jpg,https://media.igram.world/get?__sig=vKEE0RkseDAmOqY2fwHpmg&__expires=1773098813&uri=https%3A%2F%2Fscontent-cpt1-1.cdninstagram.com%2Fv%2Ft51.82787-19%2F591164064_18062585531557027_8363416015621194368_n.jpg%3Fefg%3DeyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTguYzIifQ%26_nc_ht%3Dscontent-cpt1-1.cdninstagram.com%26_nc_cat%3D107%26_nc_oc%3DQ6cZ2QHg4Qe7-aT-z3Rz7IEbW4hXuTOdt9LbAOWleVYBiaBgtJAMUptCNDcncgFPc4ocicirINjOS0SDU3ptIyectMVo%26_nc_ohc%3DABFcFON9nJUQ7kNvwEU6Ds3%26_nc_gid%3DmDzechrQ7A5WLGVgidS4uA%26edm%3DAEF8tYYBAAAA%26ccb%3D7-5%26oh%3D00_AfyhDosyaK5xHSNN7tvvhdc_HZ4x86O8zWxgmDPWZckSBQ%26oe%3D69B5133C%26_nc_sid%3D1e20d2&filename=591164064_18062585531557027_8363416015621194368_n.jpg,https://media.igram.world/get?__sig=vKEE0RkseDAmOqY2fwHpmg&__expires=1773098813&uri=https%3A%2F%2Fscontent-cpt1-1.cdninstagram.com%2Fv%2Ft51.82787-19%2F591164064_18062585531557027_8363416015621194368_n.jpg%3Fefg%3DeyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTguYzIifQ%26_nc_ht%3Dscontent-cpt1-1.cdninstagram.com%26_nc_cat%3D107%26_nc_oc%3DQ6cZ2QHg4Qe7-aT-z3Rz7IEbW4hXuTOdt9LbAOWleVYBiaBgtJAMUptCNDcncgFPc4ocicirINjOS0SDU3ptIyectMVo%26_nc_ohc%3DABFcFON9nJUQ7kNvwEU6Ds3%26_nc_gid%3DmDzechrQ7A5WLGVgidS4uA%26edm%3DAEF8tYYBAAAA%26ccb%3D7-5%26oh%3D00_AfyhDosyaK5xHSNN7tvvhdc_HZ4x86O8zWxgmDPWZckSBQ%26oe%3D69B5133C%26_nc_sid%3D1e20d2&filename=591164064_18062585531557027_8363416015621194368_n.jpg
Injecar Centro Automotivo,Novo,"Rua Bem Te Vi, 264 - Água Branca",https://www.instagram.com/injecar_unai_mg/,INSTAGRAM,Não,,Não possui Google Maps,,,,,,,,,
Benedita Distribuidora,Novo,"Rua Francisco Rodrigues da Silva, 554 - Jardim",https://www.instagram.com/brasdistribuidora.benedita/,INSTAGRAM,Não,,,,,,,,,,,
Space Burguer,Novo,"Rua Amélia Gaia, 5 - Santa Luzia",https://www.instagram.com/space_.burguer/,INSTAGRAM,Não,,,,,,,,,,,
Junior Calhas e Rufos,Novo,"Rua das Hortências, 80 - Jardim",https://www.instagram.com/juniorcalhaserufos_unai,INSTAGRAM,Não,,,,,,,,,,,
Toldos Impacto,Novo,Rua Miguel Pereira Campos - Santos 160,https://www.instagram.com/toldosimpactounai/,INSTAGRAM,Não,,,,,,,,,,,
Super Altas Horas - Djalma Torres,Novo,Rua Djalma Torres 740 - Centro,https://www.instagram.com/superaltashoras/,INSTAGRAM,Não,,,,,,,,,,,
Impacto Pneus,Publi,"Rua Virgílio Justiniano Ribeiro, 159 - Capim Branco",https://www.instagram.com/impactopneusunai/,INSTAGRAM,Não,,Atualizar,,,,,,,,,
CTR Fitness,Novo,"Avenida São João, 490 - Divinéia",https://www.instagram.com/ctrfitnessunai/,INSTAGRAM,Não,,,,,,,,,,,
Speed Corridas,Novo,,https://www.instagram.com/speedcorridasbr/,INSTAGRAM,Não,,,,,,,,,,,
